Start Date,1/1/2024,,,Company:,Salesforce,,Hubspot
End Date,3/31/2026,,,Ticker Symbol:,CRM,,HUBS
,,,,,,,
,,,,,,,
,,,,Date,Close,,Close
,,,,12/11/2024, $287.63 ,, $648.03 
,,,,12/12/2024, $288.06 ,, $641.75 
,,,,12/13/2024, $282.28 ,, $621.25 
,,,,12/14/2024, $283.42 ,, $627.80 
,,,,12/15/2024, $273.13 ,, $614.92 
,,,,12/16/2024, $277.19 ,, $616.47 
,,,,12/17/2024, $276.03 ,, $616.92 
,,,,12/18/2024, $266.92 ,, $578.25 
,,,,12/19/2024, $265.37 ,, $589.90 
,,,,12/20/2024, $261.62 ,, $592.02 
,,,,12/21/2024, $264.47 ,, $600.11 
,,,,12/22/2024, $263.17 ,, $599.29 
,,,,12/23/2024, $267.14 ,, $602.61 
,,,,12/24/2024, $274.51 ,, $609.40 
,,,,12/25/2024, $272.25 ,, $606.06 
,,,,12/26/2024, $268.22 ,, $582.04 
,,,,12/27/2024, $265.91 ,, $573.57 
,,,,12/28/2024, $266.91 ,, $569.82 
,,,,12/29/2024, $258.40 ,, $554.59 
,,,,12/30/2024, $263.88 ,, $549.57 
,,,,12/31/2024, $262.76 ,, $554.85 
,,,,1/1/2025, $259.50 ,, $544.46 
,,,,1/2/2025, $260.63 ,, $534.51 
,,,,1/3/2025, $263.41 ,, $536.51 
,,,,1/4/2025, $271.17 ,, $557.32 
,,,,1/5/2025, $267.76 ,, $543.36 
,,,,1/6/2025, $270.74 ,, $547.76 
,,,,1/7/2025, $273.42 ,, $550.63 
,,,,1/8/2025, $272.69 ,, $556.63 
,,,,1/9/2025, $271.91 ,, $557.86 
,,,,1/10/2025, $269.21 ,, $546.02 
,,,,1/11/2025, $272.15 ,, $560.86 
,,,,1/12/2025, $269.80 ,, $555.58 
,,,,1/13/2025, $273.65 ,, $557.42 
,,,,1/14/2025, $270.92 ,, $560.55 
,,,,1/15/2025, $263.97 ,, $553.77 
,,,,1/16/2025, $258.07 ,, $524.27 
,,,,1/17/2025, $259.68 ,, $538.60 
,,,,1/18/2025, $257.58 ,, $528.91 
,,,,1/19/2025, $257.95 ,, $541.53 
,,,,1/20/2025, $259.88 ,, $528.60 
,,,,1/21/2025, $262.38 ,, $542.41 
,,,,1/22/2025, $262.28 ,, $546.64 
,,,,1/23/2025, $263.59 ,, $549.72 
,,,,1/24/2025, $267.22 ,, $560.90 
,,,,1/25/2025, $267.70 ,, $552.16 
,,,,1/26/2025, $269.11 ,, $559.66 
,,,,1/27/2025, $270.25 ,, $559.23 
,,,,1/28/2025, $267.39 ,, $548.33 
,,,,1/29/2025, $264.81 ,, $538.23 
,,,,1/30/2025, $258.33 ,, $519.65 
,,,,1/31/2025, $250.74 ,, $498.51 
,,,,2/1/2025, $252.32 ,, $502.20 
,,,,2/2/2025, $247.49 ,, $492.16 
,,,,2/3/2025, $249.17 ,, $492.62 
,,,,2/4/2025, $240.88 ,, $461.87 
,,,,2/5/2025, $240.51 ,, $449.72 
,,,,2/6/2025, $232.68 ,, $420.79 
,,,,2/7/2025, $231.66 ,, $423.78 
,,,,2/8/2025, $237.03 ,, $437.75 
,,,,2/9/2025, $233.37 ,, $429.90 
,,,,2/10/2025, $242.44 ,, $439.37 
,,,,2/11/2025, $243.97 ,, $448.20 
,,,,2/12/2025, $246.00 ,, $443.14 
,,,,2/13/2025, $246.45 ,, $453.69 
,,,,2/14/2025, $245.83 ,, $455.97 
,,,,2/15/2025, $248.29 ,, $474.30 
,,,,2/16/2025, $247.87 ,, $467.92 
,,,,2/17/2025, $243.74 ,, $457.32 
,,,,2/18/2025, $250.16 ,, $469.48 
,,,,2/19/2025, $254.53 ,, $476.34 
,,,,2/20/2025, $256.25 ,, $483.17 
,,,,2/21/2025, $252.86 ,, $471.54 
,,,,2/22/2025, $256.45 ,, $472.71 
,,,,2/23/2025, $244.01 ,, $464.31 
,,,,2/24/2025, $250.76 ,, $487.53 
,,,,2/25/2025, $252.27 ,, $498.53 
,,,,2/26/2025, $252.06 ,, $502.29 
,,,,2/27/2025, $242.57 ,, $489.18 
,,,,2/28/2025, $246.28 ,, $496.79 
,,,,3/1/2025, $242.76 ,, $491.48 
,,,,3/2/2025, $242.52 ,, $508.14 
,,,,3/3/2025, $239.31 ,, $502.55 
,,,,3/4/2025, $242.21 ,, $507.30 
,,,,3/5/2025, $244.28 ,, $513.12 
,,,,3/6/2025, $247.09 ,, $518.84 
,,,,3/7/2025, $249.69 ,, $522.97 
,,,,3/8/2025, $244.56 ,, $513.14 
,,,,3/9/2025, $245.89 ,, $515.35 
,,,,3/10/2025, $240.95 ,, $506.68 
,,,,3/11/2025, $243.43 ,, $517.76 
,,,,3/12/2025, $245.10 ,, $519.88 
,,,,3/13/2025, $237.00 ,, $467.80 
,,,,3/14/2025, $235.69 ,, $440.25 
,,,,3/15/2025, $238.88 ,, $445.16 
,,,,3/16/2025, $240.36 ,, $451.87 
,,,,3/17/2025, $245.78 ,, $463.59 
,,,,3/18/2025, $239.74 ,, $450.37 
,,,,3/19/2025, $240.43 ,, $459.56 
,,,,3/20/2025, $245.33 ,, $452.99 
,,,,3/21/2025, $241.68 ,, $439.66 
,,,,3/22/2025, $248.75 ,, $449.88 
,,,,3/23/2025, $239.77 ,, $456.58 
,,,,3/24/2025, $236.58 ,, $445.44 
,,,,3/25/2025, $246.00 ,, $432.70 
,,,,3/26/2025, $243.08 ,, $436.82 
,,,,3/27/2025, $254.28 ,, $451.58 
,,,,3/28/2025, $263.41 ,, $478.01 
,,,,3/29/2025, $256.64 ,, $469.50 
,,,,3/30/2025, $255.05 ,, $475.80 
,,,,3/31/2025, $254.83 ,, $469.67 
,,,,4/1/2025, $255.47 ,, $471.94 
,,,,4/2/2025, $254.26 ,, $469.62 
,,,,4/3/2025, $251.46 ,, $466.12 
,,,,4/4/2025, $256.65 ,, $477.62 
,,,,4/5/2025, $260.41 ,, $491.92 
,,,,4/6/2025, $261.34 ,, $494.58 
,,,,4/7/2025, $254.44 ,, $471.99 
,,,,4/8/2025, $252.68 ,, $464.71 
,,,,4/9/2025, $239.27 ,, $394.95 
,,,,4/10/2025, $239.88 ,, $398.40 
,,,,4/11/2025, $241.71 ,, $386.35 
,,,,4/12/2025, $244.50 ,, $395.04 
,,,,4/13/2025, $246.02 ,, $394.74 
,,,,4/14/2025, $240.43 ,, $390.61 
,,,,4/15/2025, $243.66 ,, $396.36 
,,,,4/16/2025, $237.03 ,, $369.10 
,,,,4/17/2025, $233.50 ,, $368.33 
,,,,4/18/2025, $227.88 ,, $361.90 
,,,,4/19/2025, $225.37 ,, $357.31 
,,,,4/20/2025, $227.11 ,, $355.35 
,,,,4/21/2025, $226.82 ,, $356.50 
,,,,4/22/2025, $234.12 ,, $371.51 
,,,,4/23/2025, $228.15 ,, $361.81 
,,,,4/24/2025, $230.54 ,, $367.32 
,,,,4/25/2025, $232.83 ,, $373.40 
,,,,4/26/2025, $234.71 ,, $373.32 
,,,,4/27/2025, $238.72 ,, $374.97 
,,,,4/28/2025, $247.46 ,, $377.04 
,,,,4/29/2025, $260.57 ,, $379.85 
,,,,4/30/2025, $259.53 ,, $385.21 
,,,,5/1/2025, $261.02 ,, $385.80 
,,,,5/2/2025, $264.20 ,, $392.47 
,,,,5/3/2025, $262.35 ,, $387.19 
,,,,5/4/2025, $262.23 ,, $375.94 
,,,,5/5/2025, $254.58 ,, $364.85 
,,,,5/6/2025, $254.91 ,, $370.35 
,,,,5/7/2025, $258.14 ,, $387.58 
,,,,5/8/2025, $257.85 ,, $390.00 
,,,,5/9/2025, $259.91 ,, $389.46 
,,,,5/10/2025, $264.63 ,, $401.00 
,,,,5/11/2025, $263.43 ,, $397.00 
,,,,5/12/2025, $265.26 ,, $397.60 
,,,,5/13/2025, $266.08 ,, $398.16 
,,,,5/14/2025, $266.23 ,, $399.37 
,,,,5/15/2025, $265.92 ,, $405.83 
,,,,5/16/2025, $264.91 ,, $401.30 
,,,,5/17/2025, $253.62 ,, $382.23 
,,,,5/18/2025, $256.26 ,, $379.62 
,,,,5/19/2025, $262.90 ,, $396.00 
,,,,5/20/2025, $266.12 ,, $398.22 
,,,,5/21/2025, $260.53 ,, $369.90 
,,,,5/22/2025, $259.94 ,, $371.56 
,,,,5/23/2025, $259.40 ,, $375.96 
,,,,5/24/2025, $241.06 ,, $358.89 
,,,,5/25/2025, $239.57 ,, $345.30 
,,,,5/26/2025, $233.53 ,, $329.24 
,,,,5/27/2025, $227.11 ,, $311.88 
,,,,5/28/2025, $220.07 ,, $304.79 
,,,,5/29/2025, $221.58 ,, $302.32 
,,,,5/30/2025, $228.09 ,, $319.50 
,,,,5/31/2025, $228.05 ,, $322.78 
,,,,6/1/2025, $229.40 ,, $328.99 
,,,,6/2/2025, $228.53 ,, $319.66 
,,,,6/3/2025, $227.96 ,, $317.11 
,,,,6/4/2025, $214.08 ,, $281.53 
,,,,6/5/2025, $212.29 ,, $280.00 
,,,,6/6/2025, $210.81 ,, $274.06 
,,,,6/7/2025, $196.38 ,, $245.16 
,,,,6/8/2025, $199.44 ,, $243.93 
,,,,6/9/2025, $189.97 ,, $223.49 
,,,,6/10/2025, $191.35 ,, $232.58 
,,,,6/11/2025, $194.03 ,, $231.08 
,,,,6/12/2025, $193.45 ,, $231.95 
,,,,6/13/2025, $185.00 ,, $209.33 
,,,,6/14/2025, $185.43 ,, $228.95 
,,,,6/15/2025, $189.72 ,, $243.85 
,,,,6/16/2025, $184.29 ,, $247.31 
,,,,6/17/2025, $187.79 ,, $250.14 
,,,,6/18/2025, $185.29 ,, $239.37 
,,,,6/19/2025, $185.16 ,, $233.50 
,,,,6/20/2025, $178.16 ,, $217.36 
,,,,6/21/2025, $185.42 ,, $232.60 
,,,,6/22/2025, $191.75 ,, $245.70 
,,,,6/23/2025, $199.47 ,, $268.52 
,,,,6/24/2025, $194.79 ,, $264.51 
,,,,6/25/2025, $192.95 ,, $263.60 
,,,,6/26/2025, $196.05 ,, $275.37 
,,,,6/27/2025, $193.08 ,, $278.59 
